"Sub","Japanese Title","English Title","Japanese Location","English Location","Japanese Period","English Period","Japanese Reward","English Reward","Japanese Main Text","English Main Text","Japanese Image Text","English Image Text","Comments","Excel Table","Missable","Multipart","New Game+"
"026","海賊退治のお礼","Pirate Ship Reward","ノイシュタットの街(→P213)","Neustadt","No.22 海賊船クリア~No.22 シデン領到着前","No.22 Pirate Ship Cleared ~ No.22 Arriving in Shiden Territory","下記参照","See Below","海賊船を退治したあと、 イレーヌ邸を出て北側の通 路にいるセイラーマンに話しかけると発生。海賊船退 治のお礼としてアイテムがもらえるが、 入手できるア アイテムは海賊船退治に要したプレイ時間で変化する。","After you have cleared the pirate ship, speak with the sailor to the north (?) of Ilene's house. He will give you a reward based on the amount of time you spent clearing the pirate ship.  ","お礼をもらうには条件が あり、ランクに応じてマテリ アルやレンズが入手できる。","▲ The requirements for obtaining the rewards are listed below.","Random dude gives you reward for clearing the ship under certain times. ","|Clear Rank|Reward|
|-----|-----|
|Rank 1: within 3 minutes|[Blast Material]|
|Rank 2: within 5 minutes|[Clear Lens] x50|
|Rank 3: more than 5 minutes|[Rough Lens] x 100|","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"027","漆黒の翼③","Dark Wings 3","ノイシュタットの街(→P213)","Neustadt","No.22 海賊船クリア~No.22 シデン領到着前","No.22 Pirate Ship Cleared ~ No.22 Arriving in Shiden Territory","-","-","上記の期間中に、 闘技場に入って左の医務室にいる 漆黒の翼に話しかけると発生。 彼らはコングマンが不 在をいいことに、自分たちが不戦勝でチャンピオンに なったと言い張る。 しかし、 スタンたちと一緒に戻っ てきたコングマンに彼らの主張は覆される。 報酬は ないが、 漆黒の翼の慌てっぷりがおもしろい。","This event takes place when you enter the hospital(?) on the left side of the arena. Here you will encounter the Dark Wings yet again. Taking advantage of Kongman's absence, they claim to be the champions of the arena. While there is no reward for this event, seeing them panic when Kongman arrives with Stahn and the others is quite amusing. ","このイベントは、港でコングマンがパーティから抜けるまでのあいだに見られる。","▲ This event is only accessible after the pirate ship and before Kongman leave the party at the port. ","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"028","姉弟②","Sibling 2","ノイシュタットの街(→P213)","Neustadt","No.22 海賊船クリア~No.22 シデン領到着前","No.22 Pirate Ship Cleared ~ No.22 Arriving in Shiden Territory","-","-","『姉弟1』(→P331)を見ていることが条件で、 前回 と同じノイシュタットの橋にいる女の子に話しかける と発生する。 モンスターの襲撃をきっかけに、 彼女は ルーティが「姉弟1」で語った言葉の真意を知る。","This event is triggered by speaking with the same girl on the bridge for [Siblings 1], assuming you completed the first event in the series. After the monster attack, she learns the truth behind Rutee's words.  ","実の姉弟ではないことに 苦悩していた彼女も、未曾 有の事件で目覚めた様子。","▲ Even though she had been struggling with the fact that they were not her true siblings, the unprecedented incident seems to have opened her eyes.","since this is after the monster attack on neudtach the girls is like, i really wanted to protect my sister even tho we werent blood related so what you said is true.","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"029","ぼっちゃん①","Young Master 1","シデン領(→P218)","Shiden","No23 シデン領到着~No.28 トウケイ領到着前","No.23 Arriving in Shiden Territory ~ No.28 Before Arriving in Terrazi Territory","-","-","シデン領の道具屋近くにある橋の上で泣いている 子供に話しかけると発生する。 この子供は愛に飢えて わがままし放題のまさに坊ちゃん。 泣きじゃくって自 分がどれだけ不幸かを訴えるが、 この姿を見たリオン は甘えを感じ、 辛らつな言葉で冷たく突き放す。","This event occurs when you speak with a child crying on a bridge in Shiden. This child is starved for attention and has an obnoxiously selfish attitude. Leon cannot stand seeing such a display, especially from such a spoiled brat.","厳しい世界に生きるリオ ンにとって、 甘ったれた態度 は我慢がならない。","▲ The kid's attitude is unbearable for Leon since he had a tough upbringing ","the kids complain about his father and leon is like you need to change not him, if youre a boring kid it's your problem and you need to change that","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"030","すっきりお姉さん","Neat Sister","シデン領 (→P218)","Shiden","No.25 海底洞窟クリア~","No.25 Undersea Cave cleared~","ルーティ称号「すっきりお姉さん」","Rutee's title [Neat Sister]","シデン領のシデン家の屋敷の前にいる女の子に話 しかけると、 ルーティがキレイだとほめられる。 そして 「あたしの顔に何かついてる?」という選択肢を選ぶ と、称号「すっきりお姉さん」が手に入る。","Speak with the girl in front of the Shiden Family mansion and she will compliment Rutee on her beauty. Choose the dialogue option of ""Do I have something on my face?"" to receive the title of Neat Sister. ","「すっきりお姉さん」の称号 がないと、のちの『封印男』 (→P346)が発生しない。","▲ The title [Neat Sister] is mendatory to trigger the event ""Sealed Man"" [Side-Quest #108](projects/destiny-dc/stahn-guide?id=Side-Quest-108-Sealed-Man) ","","","","",""
"031","漆黒の翼④","Dark Wings 4","シデン領(→P218)","Shiden","No.25 モリュウ領到着~No.28 トウケイ領到着前","No.25 Arriving in Moreau ~ No.28 Before arriving in Terazzi","-","-","上記期間中にシデン領のシデン家屋敷の前にいる 漆黒の翼に近づくと発生。 漆黒の翼たちは助っ人が自 分たちだと住人に主張するが、 人々は皆助っ人がスタ たちだと思っているため信じようとしない。これも すべて男ふたり女ひとりという組み合わせゆえの不 無。このサブイベントを見ても報酬はもらえない。","The Dark Wings are back again. This time, they appear in front of the Shiden family mansion. They claim to be the ones hired to assist. It doesn't take long before the ruse is discovered and the Dark Wings are foiled once again. No reward is given for this Side-Quest","彼らに声をかけても、 ス タン一行が入れ違いで助っ 人になったことはバレない。","","since the party are the one that gor recruted and not the dark wings, they get in trouble for double pretenting they are themself.","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"032","マチエル・シデン","Michel Shiden","シデン領(→P218)","Shiden","No.25 モリュウ領到着~No.28 トウケイ領到着前","No.25 Arriving in Moreau ~ No.28 Before arriving in Terazzi","-","-","シデン領の港の橋へ行くと発生。 住人に問い詰めら れている青年をかばうジョニー。 彼からアクアヴェイ ルを建国したマチエル・シデンの話が聞ける。 このサ ブイベントは期間が短く、 見る場合はモリュウ領から 海底洞窟を通ってシデン領に戻る必要がある。","This event occurs when you go to the bridge at Shiden Port. Johnny is defending a boy who is being questioned by the residents. He will tell you a story about Michel Shiden, the founder of Aquaveil. In order to see this event, you must return to Shiden from Moreau through the underwater caves. ","ジョニーから先祖の話を 聞かされた人々は、目が覚 めて言い争いをやめる","▲ When Johnny told them about his ancestors, it made them realize how futile they quarrel his.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"033","エレノア・リンドウ①","Eleanor 1","モリュウ領(→P222)","Moreau","No.27 モリュウ城クリア~No.28 トウケイ領到着前","No.27 Clear Moreau's Castle ~ No.28 Before arriving in Terazzi","-","Item [Meteorite]","モリュウ城を攻略したあと、モリュウ領の船場から 小舟に乗ってジョニーの隠れ家に向かおう。 すると、 ジョニーと彼の幼なじみであるフェイトとエレノアの 思い出を綴る回想シーンを見ることができる。","After clearing Moreau Castle, take a small boat to Johnny's hideout. You will see a scene where Johnny reminisces about his childhood friends, Fate and Eleanor. ","ジョニーの回想イベント を見たあと、鎧を調べると 「隕石の欠片」が手に入る。","▲ After seeing this event, you can get a [Meteorite] by examining the samurai armor on the wall.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"034","シデン家末っ子","Shiden's Youngest","モリュウ領(→P222)","Moreau","No.27 モリュウ城クリア~No.28 トウケイ領到着前","No.27 Clear Moreau's Castle ~ No.28 Before arriving in Terazzi","ジョニー称号「シデン家末っ子」","Johnny's title [Shiden's Youngest]","モリュウ領の地下倉庫屋上にいる男に話しかけると 発生。 出現する選択肢は「道化の…･････」が正しい答え となる。 ジョニーを毛嫌いする男に対してジョニーは これを甘んじて受け入れる態度を示し、スタンたちに 器の大きさを見せつける。 小舟で建物に移動すると 屋上に上がれないので徒歩で向かおう。","This event is triggered when you speak with the man on the roof of the underground warehouse in Moreau. Choose the dialogue option of ""I'm just the clown know as..."" to witness a scene where the man shares his disdain for Johnny's lifestyle. Stahn and the others are impressed with how he handles the matter, earning him this title. You will not be able to get to this building using a small boat(?), so you'll need to go on foot. ","会話中、上の選択肢を選 べばジョニーの称号「シデン 「家末っ子」を入手可能だ。","▲ If you choose the option above during the conversation, you can get Johnny's title [Shiden's Youngest]","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"035","アルツール・シデン","Arthur Shiden","シデン領(→P218)","Shiden","No.27 モリュウ城クリア~No.28 トウケイ領到着前","No.27 Clear Moreau's Castle ~ No.28 Before arriving in Terazzi","-","-","ジョニーに称号「シデン家末っ子」をセットして、 シデ ン領のシデン家屋敷にいるアルツール・シデンに話し かけると発生。 領主を降ろされて以来しょげている彼 は、ジョニーが新たな大王になってくれることを願う が、当のジョニーは父の話に耳を貸さない。","Speaking with Arthur Shiden while Johnny has [Shiden's Youngest] title to trigger this event. You will find Aruthure Shiden in the Shiden Family Mansion. He is despondent as he is no longer a lord. He hopes that Johnny with become the next great king. However, Johnny refuses to listen. ","宝剣が盗まれたことで領 主の座を追われた彼に、 以 前のような覇気はなかった。","▲ He was ousted from his position as lord after the theft of the treasured sword.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"036","漆黒の翼⑤","Dark Wings 5","港町スノーフリア (→P234)","Frostheim"," No.31 ウッドロウ、チェルシー加入~No.36 グレバム戦前","No.31 Woodrow & Chelsea joins ~ No.36 Before Greybum's Battle","-","-","スノーフリアの宿屋にいる漆黒の翼に近づくと発  生。 彼らが「伝説の傭兵」を名乗り、 無銭飲食をしてい  る場面に出くわす。 実力もないのに大口を叩く彼らを  見て、弓匠アルバは巧みな話術で彼らを操る。","Approach the Dark Wings in Frostheim to see additional antics. They claim to be ""legendary mercenaries,"" and indulge in food and drink without intending to pay. They are no match for Master Alba, who cons them into clearing snow from his roof. ","アルバの話にまんまと乗  せられ、3人はやる気満々で  屋根の雪降ろしに向かう","▲ The three of them are completely enticed by Alba's story and head for the roof to remove the snow with renewed enthusiasm.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"037","Cursed Beauty","Rose of Seinegald","港町スノーフリア(→P234)","Frostheim"," No.31 ウッドロウ、 チェルシー加入~","No.31 Woodrow & Chelsea joins ~","リオン称号「セインガルドの薔薇」","Leon's title [Rose of Seinegald]","スノーフリア出入口付近にいる女性に話しかけると  発生。選択肢は「(無視)」を選ぼう。 リオンの  ファンを公言する彼女はセインガルドでリオンの姿を  見かけて以来、ずっと女剣士だと勘違いをしているら  しい。 そのため、 彼女は目の前にいる男が憧れの人物  リオン本人であることに気がつかない。","Speaking to a woman near the entrance of Frostheim triggers this event. If you ignore her, she professes her adoration for Leon, which started as soon as she saw them in Seinegald. She seems to be mistaken that Leon is a girl, not realize the beautiful man before her is the man of her dreams.  ","結局、リオンは彼女の大  きな勘違いを解かぬままイ  ベントは終了する。","▲ The event end without Leon beign able to clear the ""misunderstanding.""","Leon is mistaken for a beutifull woman and he's offended","","","",""
"038","美人薄命","Cursed Beauty","港町スノーフリア(→P234)","Frostheim"," No.31 ウッドロウ、チェルシー加入~","No.31 Woodrow & Chelsea joins ~","チェルシー称号「美人薄命」
","Chelsea's title [Cursed Beauty]","スノーフリアの道具屋の左隣の家にいる青年に話しか  けると発生。 ふたつの選択肢が出現するが、 ここは  「(結構かっこいい人ですねぇ)」が正解。青年の言葉を  聞き、 妄想にふけるチェルシー。 勘違いから巻き起こ  る彼女の暴走っぷりがなかなか可愛い。","","「cc」 (→P341)  を発生させるには、ここで  入手する称号が必要。","▲ The title obtained here is necessary to trigger ""Princess Rhianna"" [Side-Quest #082](projects/destiny-dc/stahn-guide?id=Side-Quest-082-Princess-Rhianna) ","Chelsea think the boy is confesing to her but in the end she's dissilutioned","","","",""
"039","イザークの息子","Isaac's Son","サイリルの街 (→P238)","Cyril"," No.33 マリーの記憶復活~","No.33 Marie's memories returned","ウッドロウ称号「イザークの息子」","Woodrow's title [Isaac's Son]","サイリルの食材屋にいる少年に話しかけると発生。  選択肢は「どうしたのだ少年?」 が正解。 少年にウッド  ロウの正体がファンダリア王子であることがバレそう  になるが、自らのポリシーを貫くウッドロウの姿を見  て、少年はウッドロウに対する見方を変える。","","「世紀のモテ男決定戦」  (→P339) を発生させるに  は、この称号が必要になる。","▲ The title obtained here is necessary to trigger ""Popularity Battle"" [Side-Quest #065](projects/destiny-dc/stahn-guide?id=Side-Quest-065-Popularity-Battle) ","","","","",""
"040","元義勇軍メンバー","Former Soldier","サイリルの街 (→P238)","Cyril"," No.33 マリーの記憶復活~","No.33 Marie's memories returned","マリー称号「元義勇軍メンバー」","Mary's title [Former Soldier]","サイリルでマリーの記憶が戻ったあと、 家の外で雪  かきをするおじさんに話しかけると発生。 選択肢は  「あなたに見覚えはあるのだが……」 を選ぼう。 彼は  マリーに傭兵時代に見かけたことがあると告げる。","","おじさんから、 義勇軍時  代のマリーに関する話を少  しだけ聞くことができる。","▲ He tells a few stories about Marie when they were in the army.","","","","",""
"041","クリスを知る者","Chris' Old Acquaintance","国境の街ジェノス (→P182)","Janos"," No.33 マリーの記憶復活~No.36 グレバム戦前","No.33 Marie's memories returned No.36 Before Greybum's Battle","リオンブラストキャリバー 「魔神煉獄殺」","Rutee's blast caliber [Infernal Suffering]","期間中、リオンがパーティに加入している状態で、 ジ
 ェノスの門番に話しかけると発生するサブイベント。
 リオンの母親であるクリスを知る門番の兵士から、 彼
 女の幼い頃の話が聞ける。 このとき、リオンのブラス
 トキャリバー 「魔神煉獄殺」を習得できるが、 すでに習
 得している場合は何ももらえない。","","発生期間がかなり短いの  で、マリーの記憶が戻った  あとに訪れるといいだろう。","▲ This event is short lived so it's better to do it before Mary's memory has returned.","Soldier is like, hey leon i knew your mom she was hot, and then leon is like nah she dead bro","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"042","パン屋との自己紹介","Meeting the Wonder Baker","リーネの村 (→P248)","Lienea","No.38 第二部開始~","No.38 Start of part 2 ~","-","-","リーネの村の食材屋に行くと、 最近村にやってきた  ばかりだというワンダーパン職人がいる。 話しかける  と、語尾に「パン」をつける独特のしゃべり方で話を進  める職人を前にして、スタンはすっかりペースに乗せ  られてしまう。 挙げ句の果てには、スタン自身も変な  口調で自己紹介をすることになる。","","この食材屋には、「サンド  「イッチ」をはじめ、 パン関連  の品揃えが充実している。","▲ This food shop as a huge selection of different bread type food like sandwiches etc.","first time you meet mimi baker and all her bread puns, shes new in town","","","",""
"043","リーネの青年","Lienean Man","リーネの村 (→P248)","Lienea"," No.38 フィリア加入~","No.38 Philia joins ~","スタン称号「リーネの青年」","Stahn title [Lienean Man]","スタンの家の小さな門をくぐった先にいる村長の娘
 と話すと選択肢が発生。 ここは「ちょっと、 ね」 を選択
 しよう。 フィリアを連れている姿を見て、 彼女はスタン
 がひとりの青年になったことを認めてくれる。","","彼女がスタンを一人前の  青年と認めることで、 スタン  の新たな称号が手に入る。","▲ If she recognizes Stahn as  ""a man,"" he'll earn the title [Lienean Man]","","","","",""
"044","community old man stuff","Community Old Man","旅人の小屋","Traveler's Lodge","No.38 リーネの村出発~","No.38 Departure from the village of Lieane","-","Portrait Option","フィッツガルドのフィールド上にある旅人の小屋に  は、コミュニ爺という人物がいる。 彼は、本作の連動  ウェブサイトで特典を入手するのに欠かせない存在  で、話しかけるとサイトで入力が求められる連動IDと  ゲームパスワードを教えてくれる。","This old man used to be linked to a defunct website where you could enter passwords to unlock in-game rewards. However, much like any other site from the early 2000’s, it was dead by the time the Director’s Cut version of the game was released. He now unlocks the alternate portrait option in the Customize menu.","表示される連動IDとパス  ワードをサイトで入力すれ  ば、 さまざまな特典がある。","▲ That's how the website use to look and here's the internet archive link https://web.archive.org/web/20070114131308/http://namco-ch.net:80/to-destiny/pc_game.html","","","","",""
"045","ダリスの悪夢","Dalis' Nightmare","サイリルの街 (→P238)","Cyril","サブイベント「旅人の小屋のおじいさん」 発生~","After Side-Quest [Young Master 2]","-","-","前項の「旅人の小屋のおじいさん」に登場するコミ  ユニ爺は、パスワードを教えてくれるだけでなく、 運動  ウェブサイトで取得したパスワードの入力も受けつけ  てくれる。このイベントの条件は、 連動ウェブサイトの  『飛行竜着陸!」 を 「難しい」 でクリアすること。 発行さ  れたパスワードを旅人の小屋で入力すれば、 このサブ  イベントが楽しめるようになる。 入力後は、 サイリルの  街にいるダリスに話しかければいい。","","妻マリーの無邪気さに振  り回される心優しきダリ  スの苦悩が垣間見られる。","▲ This is what moé hell would looks like, poor Dalis.","","","","",""
"046","乙女のまなざし","Maiden’s Gaze","ノイシュタットの街(→P213)","Neustadt"," No.39 ノイシュタット到着~","No.39 Arriving in Neustadt","フィリア称号「乙女のまなざし」","Philia's title [Maiden’s Gaze]","「覚悟のまなざし」 (→P331) をクリアした状態で、  ノイシュタットの道具屋の前にいるおばさんに話しか  けると発生。 出現する選択肢は「あなたは以前の!」を  選ぼう。 「覚悟のまなざし』 でフィリアの意思を見抜い  たおばさんが、 以前とは変化したフィリアのまなざし  に気づく。 「覚悟のまなざし」 をまだクリアしていない  場合は、一度「覚悟のまなざし」をクリアしたあとマッ  プを切り替えて戻れば 「乙女のまなざし」が見られる。",""," 「村長の娘』 (→P337)  発生に必要な称号「乙女の  まなざし」を入手。","▲ The title obtained here is necessary to trigger ""Chief's Daughter"" [Side-Quest #057](projects/destiny-dc/stahn-guide?id=Side-Quest-057-Chief's-Daughter) ","","","","",""
"047","ダリスの妻","Dalis' Wife","港町スノーフリア(→P234)","Frostheim"," No.40 マリー加入~","No.40 Mary joins  ~","マリー称号「ダリスの妻」","Mary's title [Dalis' Wife]","第二部でマリーと合流後、 スノーフリアの武具屋近  くにいるおばさんに話しかけると発生。 「えーっと・・・  ・・・」が正しい選択肢で、 おばさんからダリスとの夫婦  仲について尋ねられる。 最初はおばさんが誰なのか  思い出せずとまどうマリーだが、 やがて幼少期のダリ  スの面倒をみてくれていた隣人と気づく。","","","","","","","",""
"048","トップレスマン","Topless Man","港町スノーフリア(→P234)","Frostheim"," No.40 マリー加入~","No.40 Mary joins  ~","コングマン称号「トップレスマン」","Kongman's title [Topless Man]","スノーフリアの入口付近で、 「セインガルドの薔薇」  (→P334) で登場した女性に話しかけると発生。 選択  肢は「今はプライベートなんだ、 サインは後にしてくれ」  を選ぼう。 彼女は雪の中でも半裸状態で平気な顔をし  ているコングマンに疑問を投げかけるが、 当のコング  マンは浮世離れした答えで煙に巻く。","","『コング劇場」 (→P345)  を発生させるには、ここで  入手する称号が必要。","▲ The title obtained here is necessary to trigger ""Kong Theatre"" [Side-Quest #104](projects/destiny-dc/stahn-guide?id=Side-Quest-104-Kong-Theatre) ","","","","",""
"049","こどな","Kidult","首都ハイデルベルグ (→P240)","Heidelberg"," No.41 ウッドロウ、チェルシー加入~","No.41 Woodrow & Chelsea joins ~","チェルシー称号「こどな」","Chelsea's title [Kidult]","ハイデルベルグの入口付近にいる男の子に話しか  けると発生。 正しい選択肢は「うふふ、いきなり乱暴な  子ですねぇ」だ。 最初は毅然と振る舞うチェルシーだ  が、かぼちゃパンツのことを言われて最後は怒り出す。","","称号「こどな」 を入手する  ことで、のちに『ホームシック」 (→P345) が発生。","▲ The title obtained here is necessary to trigger ""Homesickness"" [Side-Quest #100](projects/destiny-dc/stahn-guide?id=Side-Quest-100-Homesickness) ","","","","",""
"050","ファンダリア王","Phandaria's King","首都ハイデルベルグ (→P240)","Heidelberg"," No.41 ウッドロウ、チェルシー加入~","No.41 Woodrow & Chelsea joins ~","ウッドロウ称号「ファンダリア王」","Woodrow's title [Phandaria's King]","ハイデルベルグの宿屋2階にいる若い女性と話しか  けると発生。 その後「何用ですかな?」 を選択すると、  王との謁見を希望する彼女が、 身分を隠したウッドロ  ウに対して頼みごとをする。 それは、 動乱で困ってい  る家族を王の力で救ってほしいという内容だった。","","「ダリスとマリー」 (→  P347) 発生の条件となる  称号が入手できる。","▲ The title obtained here is necessary to trigger ""Dalis and Mary"" [Side-Quest #115](projects/destiny-dc/stahn-guide?id=Side-Quest-115-Dalis-and-Mary) ","","","","",""
"051","他人の空似","Accidental Resemblance"," 国境の街ジェノス ( →P182)","Janos"," No.41 ウッドロウ、チェルシー加入~","No.41 Woodrow & Chelsea joins ~","need to be rescaned again","Woodrow's title [Doppelganger], Items see below","ウッドロウはどういうわけか、 世界中の人々から知  らない誰かと見間違われるらしい。これはウッドロウ  にまつわる逸話の原因が明らかになるサブイベント。  ジェノスの酒場にいる旅人に話しかけるとイベントが  進行する。 ウッドロウによく似た人物を知る人は、下  の表で示した5つの場所に点在しており、 彼らと会話  することで情報が集まる。 もっとも重要なのはジェノ  ス、ダリルシェイド、ノイシュタットの3ヵ所で、 会話後  はハイデルベルグ城の通路に1枚ずつ肖像画が出現。  これらを見れば、 ウッドロウが誰と勘違いされている  かが判明する。 また、 リストにあるすべての場所で情  報収集を済ませることで、 ウッドロウの称号「ドッペル  ゲンガー」を取得することができる。","","情報を集めるときは、ウ  ッドロウを表示キャラに切  り替えてから話すこと。","▲ Woodrow need to be the onscreen character to trigger each scenes.","","excel table","","",""
"052","小さな家族②","Small Familly 2","ハーメンツの村(→P188)","Harmentz"," No.41 ウッドロウ、チェルシー加入~No.45 ラディスロウ到着前","No.41 Woodrow & Chelsea joins ~ No.45 Before arrival at Radisrol","-","-","小さな家族の2回目となるイベント。 『小さな家族1』  (→328) をクリアしている状態で、期間中にハーメン  ツの道具屋わきにある垂れ幕を調べれば発生する。","","イベントの発生期間が短  いので、早めに発生場所の  ハーメンツの村へ行こう。","▲ This Side-Quest is easy to miss so make sure to go back as soon as you can.","","","","![](https://img.shields.io/badge/-Multipart-informational?style=for-the-badge&color=orange)",""
"053","漆黒の翼⑥","Dark Wings 6","アルメイダの村 (→P194)","Armeida","No.41 ウッドロウ、チェルシー加入 ~No.44 海底洞窟到着前","No.41 Woodrow & Chelsea joins ~ No.44 Before arrival at Undersea Caves","-","-","期間中にアルメイダの奥にある広場の漆黒の翼に 近づくと発生。 活躍するどころかドジを踏んでばかり の彼らは、唯一自分たちの存在をアピールできるアル メイダに舞い戻り、 この地に骨を埋める覚悟をする。","","漆黒の翼を歓迎してくれ るのはアルメイダだけ。 無謀 な冒険からは卒業するべき。","","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"054","アイルツの憂い","Ayles' Lament","ストレイライズ神殿 ( →P198)","Straylize Temple","No.41 ウッドロウ、チェルシー加入~","No.41 Woodrow & Chelsea joins ~ No.41 Woodrow & Chelsea joins","フィリア称号「A級エージェント」、 フィリアブラストキャリバー「ディバインパウア」","Philia's title [Secret Agent], Philia's blast caliber [Divine Power]","ウッドロウとチェルシーが加入後、 フィリアに称号 「覚悟のまなざし」 をセットした状態で、 ストレイライズ 神殿の大聖堂にいるアイルツに話しかけると発生する イベント。 アイルツに、ストレイライズ神殿の成り立ち について尋ねるフィリア。 だが、 彼が語る話に、フィリ アに非常に大きな衝撃を受ける。","","新たな称号だけでなく、 ブラストキャリバーも習得 できるお得なイベントだ。","▲ That event is pretty important since it not only gives a new title it also gives a new Blast Calibur","","","","",""
"055","フィリアの夫","Philia's Husband","ストレイライズ神殿(→P198)
","Straylize Temple","No.41 ウッドロウ、チェルシー加入~","No.41 Woodrow & Chelsea joins ~ No.41 Woodrow & Chelsea joins","フィリア称号「神の妻」、 コングマン称号「神に戦いを挑む男」","Philia's title [Divine Wife], Kongman's title [Goddess Challenger]","ウッドロウたちがパーティに加入したあと、 ストレイ ライズ神殿の大聖堂にいるアイルツと話すと発生。 フ ィリアに熱い思いを寄せるコングマンがアイルツに仲 人になってくれと直談判するが、 フィリアが既婚者だと 知らされて燃え尽きる。 ちなみに夫とは神のこと。","","入手できるフィリアの称 号は「グレバムの記憶」(→ P348) で必要となる。","▲ The title obtained here is necessary to trigger ""Greybum's Memory"" [Side-Quest #117](projects/destiny-dc/stahn-guide?id=Side-Quest-117-Greybum's-Memory) ","","","","",""
"056","コングマン、拳の男","Man of Fists","ノイシュタットの街(→P213)","Neustadt","No.41 ウッドロウ、チェルシー加入~","No.41 Woodrow & Chelsea joins ~","コングマン称号「鉄拳王」","Kongman's title [Tekken King]","ノイシュタットの道具屋の前にいる子供に話しかけ ると発生。 子どもたちはいつも素手で戦うコングマン に、 なぜ武器を使わないのかと尋ねてくる。 このとき、 幼少時代に憧れていた無敵のチャンピオンにまつわ るコングマンの思い出がほんの少しだけ語られる。","","コングマンに勇気を与え た憧れのチャンピオンも、素 手で戦う人物だったようだ。","▲ It seems that the champion who inspired Kongman was also a bare-knuckle fighter.","","","","",""
"057","村長の娘","Chief's Daughter","ノイシュタットの街 ( →P213)","Neustadt","No.41 ウッドロウ、チェルシー加入~","No.41 Woodrow & Chelsea joins ~","フィリア称号「やきもっちん」","Philia's title [Jealous Girl]","フィリアに「乙女のまなざし」 をセットした状態で、ノ イシュタットの噴水広場にいる若い男に話しかけると 発生。 彼は女性と待ち合わせをしているのだが、 その 相手はスタンの幼なじみであるリーネの村の村長の 娘だった。 ほんの少し大人になった彼女が、 新しい恋 を見つけて青春を謳歌する姿が見られる。","","幼馴染みのスタンに思い を寄せていた村の娘も、い までは彼氏と都会でデート。","▲ She used to be madly in love with Stahn but unfortunatly she discovered DestinyTinder™ and found another man.","","","","",""
"058","養子のカルマ","Karma the Adopted Kid","ノイシュタットの街(→P213)","Neustadt","No.41 ウッドロウ、チェルシー加入~","No.41 Woodrow & Chelsea joins ~","-","-","ノイシュタットのイレーヌ邸から北に進むと発生。 ふ たりの兄弟が男の子カルマをいじめている場面に遭 遇する。 カルマはコングマンに助けを求めるが、 彼は 自分の哲学に沿った答えでカルマを導いてやる。","","自ら憎まれ役となること で、コングマンはカルマが強 い心を持つように仕向ける。","▲ By becoming a bully himself, Kongman encourages Karma to have a strong heart.","","","","",""
"059","のぞき戦士","Peeping Tom","リーネの村(→P248)","Lienea","No.41 ウッドロウ、チェルシー加入~No.58 ヒューゴ戦","No.41 Woodrow & Chelsea joins ~ No.58 Fight against Hugo","スタン称号「少年探偵」","Stahn title [Young Detective]","スタンに「リーネの青年」 をセットし、 リーネのスタ ン家にいるトーマスに話しかけると発生。 リーネに帰 郷したスタンは、トーマスからの提案で久々に家でゆ っくりすることを決める。 さっそく休みを満喫してい ると、 突然お風呂場からリリスの叫び声がし、のぞき 事件が発生。 スタンはすぐに怪しい人物を集め、見事 な推理で妹のお風呂を覗いた犯人を捕まえる。","","","▲ If you walk behind Thomas' house you can talk to a NPC there.","","","![](https://img.shields.io/badge/-Missable-informational?style=for-the-badge&color=red) ","",""
"060","元レンズハンター","Ex-Lens Hunter","クレスタの街(→P251)","Cresta","No.42 ルーティ加入~","No.42 Rutee joins ~","ルーティ称号「元レンズハンター」","Rutee's title [Ex-Lens Hunter]","クレスタの孤児院奥にいるシスターと会話するとイ ベントが発生。 選択肢は そういや挨拶してなか ったわね…....)」 が正解となる。 出発前のあいさつを シスターに告げるルーティ。 彼女の事情をすべて理解 したうえで、シスターは優しい言葉をかける。","","シスターは、孤児院を心 配するルーティに自分の体 を第一に考えるように言う。","▲ The sisters tell Rutee, who is concerned about the orphanage, to put her health first.","","","","",""
